# time,Voltage_channel_1,Voltage_channel_2
2.680000000000000090e-05,-8.000249000000000455e-05,9.999818000000000595e-02
2.688000000000000014e-05,-1.600024999999999982e-04,5.999817999999999818e-02
2.695999999999999937e-05,5.999975999999999964e-04,7.999818000000000207e-02
2.704000000000000200e-05,6.399975999999999929e-04,7.999818000000000207e-02
2.712000000000000123e-05,-1.600024999999999982e-04,5.999817999999999818e-02
2.720000000000000046e-05,5.999975999999999964e-04,7.999818000000000207e-02
2.727999999999999970e-05,-8.000249000000000455e-05,5.999817999999999818e-02
2.735999999999999893e-05,-2.488377999999999821e-09,7.999818000000000207e-02
2.744000000000000155e-05,9.199977000000000025e-04,5.999817999999999818e-02
2.752000000000000079e-05,9.999977000000001039e-04,7.999818000000000207e-02
2.760000000000000002e-05,1.599975000000000008e-04,5.999817999999999818e-02
2.767999999999999926e-05,7.999750999999999499e-05,7.999818000000000207e-02
2.776000000000000188e-05,9.199977000000000025e-04,5.999817999999999818e-02
2.784000000000000111e-05,9.599976999999999989e-04,5.999817999999999818e-02
2.792000000000000035e-05,1.999974999999999973e-04,7.999818000000000207e-02
2.799999999999999958e-05,9.199977000000000025e-04,7.999818000000000207e-02
2.808000000000000220e-05,1.199975000000000043e-04,5.999817999999999818e-02
2.816000000000000144e-05,1.999974999999999973e-04,7.999818000000000207e-02
2.824000000000000067e-05,9.999977000000001039e-04,5.999817999999999818e-02
2.831999999999999990e-05,9.999977000000001039e-04,7.999818000000000207e-02
2.839999999999999914e-05,1.999974999999999973e-04,5.999817999999999818e-02
2.848000000000000176e-05,8.399977000000000095e-04,7.999818000000000207e-02
2.856000000000000099e-05,1.199975000000000043e-04,5.999817999999999818e-02
2.864000000000000023e-05,-4.000249000000000128e-05,7.999818000000000207e-02
2.871999999999999946e-05,7.999977000000000130e-04,5.999817999999999818e-02
2.880000000000000208e-05,1.199975000000000043e-04,5.999817999999999818e-02
2.888000000000000132e-05,7.599975999999999824e-04,7.999818000000000207e-02
2.896000000000000055e-05,-4.000249000000000128e-05,7.999818000000000207e-02
2.903999999999999979e-05,7.999977000000000130e-04,5.999817999999999818e-02
