# Frequency, Frequency_g, g, Frequency_V, RMS_V, Phase_V
9.150000000000000000e+01,9.174312000000000467e+01,2.764448999999999934e-01,9.090909000000000617e+01,1.483537000000000050e-01,-1.238532000000000011e+02
9.200000000000000000e+01,9.090909000000000617e+01,2.546812999999999994e-01,9.174312000000000467e+01,1.349040999999999990e-01,-1.194544999999999959e+02
9.250000000000000000e+01,9.174312000000000467e+01,2.756811000000000123e-01,9.174312000000000467e+01,1.441881000000000135e-01,-1.205504999999999995e+02
9.300000000000000000e+01,9.259259000000000128e+01,2.756640000000000201e-01,9.259259000000000128e+01,1.428857000000000044e-01,-1.250000000000000000e+02
9.350000000000000000e+01,9.345793999999999357e+01,2.755942000000000114e-01,9.345793999999999357e+01,1.413994000000000084e-01,-1.261681999999999988e+02
9.400000000000000000e+01,9.345793999999999357e+01,2.757168999999999870e-01,9.345793999999999357e+01,1.401379000000000097e-01,-1.295327000000000055e+02
9.450000000000000000e+01,9.433961999999999648e+01,2.756788000000000016e-01,9.345793999999999357e+01,1.384563000000000044e-01,-1.205660000000000025e+02
9.500000000000000000e+01,9.523810000000000286e+01,2.799208000000000252e-01,9.433961999999999648e+01,1.396379000000000092e-01,-1.205660000000000025e+02
9.550000000000000000e+01,9.523810000000000286e+01,2.622515999999999736e-01,9.523810000000000286e+01,1.299459000000000031e-01,-1.217142999999999944e+02
9.600000000000000000e+01,9.523810000000000286e+01,2.755521000000000220e-01,9.615385000000000559e+01,1.356305999999999901e-01,-1.285714000000000112e+02
9.650000000000000000e+01,9.615385000000000559e+01,2.790930999999999829e-01,9.708737999999999602e+01,1.364897999999999945e-01,-1.263461999999999961e+02
9.700000000000000000e+01,9.708737999999999602e+01,2.784370999999999929e-01,9.708737999999999602e+01,1.353243000000000085e-01,-1.263461999999999961e+02
